image_id,predicted,actual
436015762_8d0bae90c3,startseq man in red shirt is jumping off of snow endseq,startseq man prepares to enter the red building endseq
436393371_822ee70952,startseq brown dog is looking at the camera endseq,startseq brown doberman is outside with stick in its mouth endseq
436608339_f1d1298770,startseq two men are standing outside of structure endseq,startseq couple posing in front of picture wall endseq
437054333_5c2761b8cd,startseq man is purchasing sitting at the subway with bags endseq,startseq bus filled with passengers in chicago at night endseq
437404867_209625774d,startseq man is standing on wall with several people in the background endseq,startseq woman is sitting on sidewalk with cellphone at her ear endseq
437527058_189f2a7eef,startseq child in red jacket is sitting in the snow endseq,startseq caravan of snowmobile travel through the snow endseq
437917001_ae1106f34e,startseq man rolls on the ground endseq,startseq dark colored man is laying on newspapers by metal railing with his shoes off endseq
438639005_208bc59b0b,startseq two kids are playing on the grass endseq,startseq boy in red and girl pink are walking through low cut field endseq
439037721_cdf1fc7358,startseq person is walking through the desert endseq,startseq two men sitting on the bank of lake with an ice chest endseq
439049388_3dcee2d30b,startseq man jumping off of the ocean into the ocean endseq,"startseq ""people possibly fishermen with their boats in shadow on shore at an orangesunset"" endseq"
439492931_a96d590e40,startseq two dogs are running in the grass by the side of the side of the side of the side of the side of the side of the side of the side of the side of,startseq cluster of four brown dogs play in field of brown grass endseq
439569646_c917f1bc78,startseq little girl in pink shirt is sitting on the floor endseq,startseq girl is hiding behind painted wooden structure inside building endseq
439916996_1ddb9dc8e7,startseq two dogs engaged in the yard endseq,startseq brown dogs and woman in yard endseq
440184957_267f3f3a2b,startseq the girl is being held by the girl in white polka red shirt endseq,startseq clown shares cut-out pictures of children endseq
440190907_bf8b7ba8ef,startseq people are gathered at carnival endseq,startseq group of people walk through shopping mall endseq
440737340_5af34ca9cf,startseq boy in blue shirt is standing on the beach endseq,startseq black man with red mask is carrying box endseq
441212506_fcc321ac28,startseq two dogs run through field endseq,startseq the black dog runs with ball with two smaller dogs behind it endseq
44129946_9eeb385d77,startseq two people are sitting on the shore of water endseq,startseq couple watches boat against skyline endseq
441398149_297146e38d,startseq the woman in the red shirt is standing in front of tree bench endseq,startseq female jogger wearing red endseq
441817653_fbdf83060b,startseq two men are sitting on table outside of water endseq,startseq bearded man wearing denim jacket and hat sits on park bench endseq
441921713_1cafc7d7d2,startseq two men are sitting on the street with their hands on them endseq,startseq bird lands on mans glove endseq
442220883_ff3d6e507f,startseq two dogs are fighting in the grass endseq,startseq brown dog has white toy in its mouth endseq
442594271_2c3dd38483,startseq two people are sitting on beach endseq,startseq bunch of people at the beach endseq
442918418_0f29c97fa9,startseq small dog is standing on fallen tree in the woods endseq,startseq brown dog is jumping over fallen tree in the woods endseq
443430496_3fea95a07d,startseq two dogs are in the water endseq,startseq brown dog swimming in murky water endseq
443885436_6e927e6c58,startseq small fluffy brown dog running through the snow endseq,startseq tan curly haired dog jumps in the snow with stick in its mouth endseq
444047125_66b249287c,startseq two people are climbing through the mountains endseq,startseq person hiking at the foot of snowcapped mountains endseq
444057017_f1e0fcaef7,startseq young boy wearing pink shirt is climbing off playground endseq,startseq little girl gets her picture taken while on the merry-go-round endseq
444481722_690d0cadcf,startseq two people are watching water endseq,startseq dark skinned man walks by woman talking on cellphone endseq
444803340_fdcaab86f9,startseq man in white shirt and blue hat is smoking cigarette endseq,"startseq ""a guy and girl both wearing white shirts and jeans stand under flowering tree ."" endseq"
444845904_a4531c811a,startseq hiker is hiking through the snow endseq,"startseq ""a man in yellow helmet climbs cliff face snow behind him ."" endseq"
444872454_9f51e07f88,startseq two adults posing for picture endseq,startseq group of students dressed in sweatshirts and jackets head towards the right endseq
444881000_bba92e585c,startseq three men are standing on the grass with binoculars in the background endseq,startseq group of college students walk in nice weather endseq
445148321_9f2f3ac711,startseq person is climbing up large snowy plain endseq,startseq person in the distance hikes among hoodoos with stars visible in the sky endseq
445655284_c29e6d7323,startseq the black and black dog is running in the snow endseq,startseq black and brown dog walks through the snow near building endseq
445861800_75fc6a8c16,startseq two men are standing outside of building endseq,startseq three men walking on sidewalk in city endseq
446138054_d40c66d5f0,startseq man in black t shirt is doing flip on sand surface endseq,startseq man in an orange hat jumping endseq
446286714_dcec7f339e,startseq two girls sit on the ground with their hands on the back endseq,startseq an elderly man is sitting on bench endseq
446291803_2fd4641b99,startseq two people are sitting on stool at the street endseq,startseq these woman are watching people play tennis from bench endseq
446514680_ff5ca15ece,startseq two dogs are running on the beach endseq,startseq two brown dogs are fighting and they are both wearing red endseq
447111935_5af98563e3,startseq the small dog is running through the grass endseq,startseq the two greyhound dogs wearing sweaters are playing in the grass endseq
447722389_4b51b7e13d,startseq the dog is running through the grass endseq,startseq brown and white dog is jumping high and catching blue ball endseq
447733067_09cfac3286,startseq the girls are wearing feathered love flag endseq,startseq girl in skimpy bikini outfit walks and carries helmet endseq
447800028_0242008fa3,startseq black and black dog jumping in the snow endseq,startseq black dog playing with purple toy in the snow endseq
448252603_7d928c900e,startseq woman in pink shirt and blue shorts is sitting on rock endseq,startseq boy pointing in direction on dirt road endseq
448257345_ce149c2ea6,startseq small dog eats hands with ball in its mouth endseq,startseq dog is staring at the food in the plate of person eating endseq
44856031_0d82c2c7d1,startseq brown dog is jumping over shower endseq,startseq brown dog is sprayed with water endseq
448590900_db83c42006,startseq person running through field of green flowers endseq,startseq brown dog is sniffing around green grass on hill endseq
448658518_eec0b648a6,startseq two girls are walking down the street endseq,startseq large man dressed in black on street corner by red brick building endseq
448916362_17f3f1d0e1,startseq two dogs are running on dirt path endseq,startseq dog is running through field with its tongue hanging out endseq
449287870_f17fb825d7,startseq boy in blue shirt is jumping off of blue slide endseq,startseq female toddler wearing pink shirt is playing on playground endseq
449352117_63c359c6e7,startseq black and black dog is about to see an orange gun endseq,startseq brown and black puppy stands by camera endseq
450596617_ed37ec0fe4,startseq woman in red shirt and long jeans walks on the bench endseq,startseq man and woman walking near the ocean endseq
451081733_40218cec31,startseq two people are sitting on the beach endseq,startseq man on the beach in jeans looking at his camera endseq
451326127_2d95a2e1c2,startseq dog is sniffing the ground of fallen tree endseq,startseq dog jumping over fallen tree in the forest endseq
451597318_4f370b1339,startseq the dog is playing with an orange frisbee endseq,startseq brown dog leaps up to catch an orange toy endseq
452345346_afe1248586,startseq black and white dog is jumping over fence endseq,startseq brown and white dog chews on tire endseq
452363869_cad37e609f,startseq boy chases soccer ball endseq,startseq black dog chases ball in the grass endseq
452416075_60b2bb5832,startseq young boy wearing blue shirt is jumping off of blue metal platform endseq,startseq baby dressed in blue jumps outside endseq
452419961_6d42ab7000,startseq two children are sitting on the kitchen outside endseq,startseq the three children are in cage endseq
453473508_682c0a7189,startseq two dogs are running through water endseq,startseq brown dog is running though river endseq
453756106_711c20471a,startseq two dogs are on the ground endseq,"startseq ""a large brown fluffy dog with small white and brown dog on dirt surface ."" endseq"
454686980_7517fe0c2e,startseq two men are walking past wall endseq,startseq girl who looks upset with her arms crossed endseq
454691853_cc1e0fa6a1,startseq two dogs are playing in yard endseq,startseq dog carries leash in its mouth endseq
454709143_9c513f095c,startseq woman in black dress and black pants is standing on the edge of tree endseq,startseq man dressed in blue holds sign while standing behind couple of trees and in front of large concrete wall with red writing on it endseq
455611732_d65bf3e976,startseq person is surfing on dirt path endseq,startseq hiker walks on rocky ground at the base of foggy mountain endseq
455856615_f6361d9253,startseq snowboarder is in the snow endseq,startseq skier flies through the air endseq
456299217_b2802efbc2,startseq person skateboarding on bench endseq,startseq girl sits outside at large fountain endseq
456512643_0aac2fa9ce,startseq two dogs are running through the grass endseq,startseq brown dog is running through grassy field endseq
457631171_12b1aee828,startseq man is climbing up rocky surface endseq,startseq man extends his arms in front of large rock formation endseq
457875937_982588d918,startseq dog running through the grass endseq,"startseq ""two black brown and white dogs running in green grass with ears up on heads ."" endseq"
457945610_1a23b9ced0,startseq boy in swimsuit jumping into the water endseq,startseq girl in striped swimsuit is jumping into the ocean endseq
458004873_f084c47a88,startseq two people are walking through front of glass window endseq,startseq man is sitting on bench facing another man who is standing endseq
458183774_afe65abf67,startseq the dog is laying on the grass with hose in its mouth endseq,startseq dog rolls on his back in the grass endseq
