image_id,predicted,actual
436015762_8d0bae90c3,startseq person in green shirt is jumping off ramp endseq,startseq man prepares to enter the red building endseq
436393371_822ee70952,startseq dog is standing on the stairs endseq,startseq brown doberman is outside with stick in its mouth endseq
436608339_f1d1298770,startseq man in black jacket walks in front of an abandon doorway endseq,startseq couple posing in front of picture wall endseq
437054333_5c2761b8cd,startseq man sits on the sidewalk next to car endseq,startseq bus filled with passengers in chicago at night endseq
437404867_209625774d,startseq man is skateboarding on the stairs endseq,startseq woman is sitting on sidewalk with cellphone at her ear endseq
437527058_189f2a7eef,startseq child in blue and blue car is sitting on the side of the side of the snow endseq,startseq caravan of snowmobile travel through the snow endseq
437917001_ae1106f34e,startseq man lays on the ground with supplies on the back endseq,startseq dark colored man is laying on newspapers by metal railing with his shoes off endseq
438639005_208bc59b0b,startseq boy in blue shirt is running on the grass endseq,startseq boy in red and girl pink are walking through low cut field endseq
439037721_cdf1fc7358,startseq man jumps off of hay on the beach endseq,startseq two men sitting on the bank of lake with an ice chest endseq
439049388_3dcee2d30b,startseq person on top of swimming scene at night endseq,"startseq ""people possibly fishermen with their boats in shadow on shore at an orangesunset"" endseq"
439492931_a96d590e40,startseq the brown and brown dog is running on the gravel of the brown dog endseq,startseq cluster of four brown dogs play in field of brown grass endseq
439569646_c917f1bc78,startseq woman in white dress is laying on couch endseq,startseq girl is hiding behind painted wooden structure inside building endseq
439916996_1ddb9dc8e7,startseq brown dog is running in the uncrowded yard endseq,startseq brown dogs and woman in yard endseq
440184957_267f3f3a2b,startseq woman in green shirt and white pants is standing on tree covered tree endseq,startseq clown shares cut-out pictures of children endseq
440190907_bf8b7ba8ef,startseq man and woman are sitting on the stage with large flowers endseq,startseq group of people walk through shopping mall endseq
440737340_5af34ca9cf,startseq woman in black sweatshirt and black boots is standing on the beach endseq,startseq black man with red mask is carrying box endseq
441212506_fcc321ac28,startseq two dogs are running through the grass endseq,startseq the black dog runs with ball with two smaller dogs behind it endseq
44129946_9eeb385d77,startseq two people are sitting on dock looking out at the ocean endseq,startseq couple watches boat against skyline endseq
441398149_297146e38d,startseq woman in red jacket and white hat is standing on the street endseq,startseq female jogger wearing red endseq
441817653_fbdf83060b,startseq man in blue jacket and sunglasses is standing in front of the mans wall endseq,startseq bearded man wearing denim jacket and hat sits on park bench endseq
441921713_1cafc7d7d2,startseq man and woman are walking on the sidewalk endseq,startseq bird lands on mans glove endseq
442220883_ff3d6e507f,startseq brown dog is laying on the grass endseq,startseq brown dog has white toy in its mouth endseq
442594271_2c3dd38483,startseq people are standing on the beach endseq,startseq bunch of people at the beach endseq
442918418_0f29c97fa9,startseq the dalmation dog is running through fallen fallen fallen tree endseq,startseq brown dog is jumping over fallen tree in the woods endseq
443430496_3fea95a07d,startseq brown dog is swimming in water endseq,startseq brown dog swimming in murky water endseq
443885436_6e927e6c58,startseq two dogs running through the snow endseq,startseq tan curly haired dog jumps in the snow with stick in its mouth endseq
444047125_66b249287c,startseq mountain climber is standing in the mountains endseq,startseq person hiking at the foot of snowcapped mountains endseq
444057017_f1e0fcaef7,startseq little boy in blue shirt is climbing blue ropes endseq,startseq little girl gets her picture taken while on the merry-go-round endseq
444481722_690d0cadcf,startseq two women in puffy red pants and red pants walks on the street endseq,startseq dark skinned man walks by woman talking on cellphone endseq
444803340_fdcaab86f9,startseq man in red shirt and black shirt is standing in front of red flowers endseq,"startseq ""a guy and girl both wearing white shirts and jeans stand under flowering tree ."" endseq"
444845904_a4531c811a,startseq two people are climbing on snowy road endseq,"startseq ""a man in yellow helmet climbs cliff face snow behind him ."" endseq"
444872454_9f51e07f88,startseq these people are standing in the grass endseq,startseq group of students dressed in sweatshirts and jackets head towards the right endseq
444881000_bba92e585c,startseq two people are walking on the grass endseq,startseq group of college students walk in nice weather endseq
