image_id,predicted,actual
436015762_8d0bae90c3,startseq person in red shirt is suspended up off of building endseq,startseq man prepares to enter the red building endseq
436393371_822ee70952,startseq brown dog is standing on the edge of fallen tree endseq,startseq brown doberman is outside with stick in its mouth endseq
436608339_f1d1298770,startseq men in skirts are standing in front of statue of lion endseq,startseq couple posing in front of picture wall endseq
437054333_5c2761b8cd,startseq man in long sleeved top is standing in front of business store endseq,startseq bus filled with passengers in chicago at night endseq
437404867_209625774d,startseq man sits on wood balcony at an indoor wall endseq,startseq woman is sitting on sidewalk with cellphone at her ear endseq
437527058_189f2a7eef,startseq man in red jacket windsailing with helmet sits in the snow endseq,startseq caravan of snowmobile travel through the snow endseq
437917001_ae1106f34e,startseq small boy is sitting on his floor with his legs on his head endseq,startseq dark colored man is laying on newspapers by metal railing with his shoes off endseq
438639005_208bc59b0b,startseq young boy throws ball endseq,startseq boy in red and girl pink are walking through low cut field endseq
439037721_cdf1fc7358,startseq two people are racing on low track endseq,startseq two men sitting on the bank of lake with an ice chest endseq
439049388_3dcee2d30b,startseq two people are standing on the beach endseq,"startseq ""people possibly fishermen with their boats in shadow on shore at an orangesunset"" endseq"
439492931_a96d590e40,startseq three dogs are playing in the grass endseq,startseq cluster of four brown dogs play in field of brown grass endseq
439569646_c917f1bc78,startseq little girl is giving another girl on bed endseq,startseq girl is hiding behind painted wooden structure inside building endseq
439916996_1ddb9dc8e7,startseq two dogs are walking together outside endseq,startseq brown dogs and woman in yard endseq
440184957_267f3f3a2b,startseq woman in pink shirt is riding on red tire endseq,startseq clown shares cut-out pictures of children endseq
440190907_bf8b7ba8ef,startseq several people are sitting at an outdoor tree endseq,startseq group of people walk through shopping mall endseq
440737340_5af34ca9cf,startseq woman in blue shirt and black pants is climbing on the grass endseq,startseq black man with red mask is carrying box endseq
441212506_fcc321ac28,startseq two dogs are running together in field endseq,startseq the black dog runs with ball with two smaller dogs behind it endseq
44129946_9eeb385d77,startseq two men are standing on snowy lake endseq,startseq couple watches boat against skyline endseq
441398149_297146e38d,startseq woman in red jacket is riding red bike endseq,startseq female jogger wearing red endseq
441817653_fbdf83060b,startseq man wearing black jacket is wearing black jacket and red jacket endseq,startseq bearded man wearing denim jacket and hat sits on park bench endseq
441921713_1cafc7d7d2,startseq man and woman sit at the side of the street endseq,startseq bird lands on mans glove endseq
442220883_ff3d6e507f,startseq white dog with white puppies endseq,startseq brown dog has white toy in its mouth endseq
442594271_2c3dd38483,startseq two people are standing on sandy beach endseq,startseq bunch of people at the beach endseq
442918418_0f29c97fa9,startseq dog walking through tree endseq,startseq brown dog is jumping over fallen tree in the woods endseq
443430496_3fea95a07d,startseq dog is splashing in the water endseq,startseq brown dog swimming in murky water endseq
443885436_6e927e6c58,startseq two dogs run through the snow endseq,startseq tan curly haired dog jumps in the snow with stick in its mouth endseq
444047125_66b249287c,startseq person climbing up rope endseq,startseq person hiking at the foot of snowcapped mountains endseq
444057017_f1e0fcaef7,startseq two children are playing on tall tire endseq,startseq little girl gets her picture taken while on the merry-go-round endseq
444481722_690d0cadcf,startseq four boys in dresses are walking along street endseq,startseq dark skinned man walks by woman talking on cellphone endseq
444803340_fdcaab86f9,startseq two women wearing black outfits walk across the street endseq,"startseq ""a guy and girl both wearing white shirts and jeans stand under flowering tree ."" endseq"
444845904_a4531c811a,startseq man in red shirt and helmet is scaling rock endseq,"startseq ""a man in yellow helmet climbs cliff face snow behind him ."" endseq"
444872454_9f51e07f88,startseq group of people are walking down street endseq,startseq group of students dressed in sweatshirts and jackets head towards the right endseq
444881000_bba92e585c,startseq two girls are walking together outside endseq,startseq group of college students walk in nice weather endseq
