image_id,predicted,actual
436015762_8d0bae90c3,startseq the skateboarder is jumping off the air endseq,startseq man prepares to enter the red building endseq
436393371_822ee70952,startseq dog is standing on the grass endseq,startseq brown doberman is outside with stick in its mouth endseq
436608339_f1d1298770,startseq two men are standing in front of statute of building endseq,startseq couple posing in front of picture wall endseq
437054333_5c2761b8cd,startseq two people are standing in the trash endseq,startseq bus filled with passengers in chicago at night endseq
437404867_209625774d,startseq skateboarder is jumping at the shade of building endseq,startseq woman is sitting on sidewalk with cellphone at her ear endseq
437527058_189f2a7eef,startseq child in red snowsuit is in red and helmet in the background endseq,startseq caravan of snowmobile travel through the snow endseq
437917001_ae1106f34e,startseq man sitting on bench with his hands on the floor endseq,startseq dark colored man is laying on newspapers by metal railing with his shoes off endseq
438639005_208bc59b0b,startseq the little boy is being thrown by the field of the field endseq,startseq boy in red and girl pink are walking through low cut field endseq
439037721_cdf1fc7358,startseq man is being back in the air on the beach endseq,startseq two men sitting on the bank of lake with an ice chest endseq
439049388_3dcee2d30b,startseq man in blue shirt is jumping off the edge of the ocean endseq,"startseq ""people possibly fishermen with their boats in shadow on shore at an orangesunset"" endseq"
439492931_a96d590e40,startseq two dogs are playing in the grass endseq,startseq cluster of four brown dogs play in field of brown grass endseq
439569646_c917f1bc78,startseq the girls are sitting on the couch endseq,startseq girl is hiding behind painted wooden structure inside building endseq
439916996_1ddb9dc8e7,startseq dog is playing in the grass endseq,startseq brown dogs and woman in yard endseq
440184957_267f3f3a2b,startseq the woman is wearing baseball and hat is sitting on the street endseq,startseq clown shares cut-out pictures of children endseq
440190907_bf8b7ba8ef,startseq crowd of people are gathered at the street endseq,startseq group of people walk through shopping mall endseq
440737340_5af34ca9cf,startseq woman in blue shirt and white shirt is sitting on the beach endseq,startseq black man with red mask is carrying box endseq
441212506_fcc321ac28,startseq two dogs are playing with red toy in the grass endseq,startseq the black dog runs with ball with two smaller dogs behind it endseq
44129946_9eeb385d77,startseq two people are sitting on the end of water endseq,startseq couple watches boat against skyline endseq
441398149_297146e38d,startseq the woman is wearing green shirt and hat is sitting on the street endseq,startseq female jogger wearing red endseq
441817653_fbdf83060b,startseq the boy in the orange jacket is wearing hat and hat endseq,startseq bearded man wearing denim jacket and hat sits on park bench endseq
441921713_1cafc7d7d2,startseq woman in white shirt and white hat is sitting on the street endseq,startseq bird lands on mans glove endseq
442220883_ff3d6e507f,startseq dog is standing on the grass endseq,startseq brown dog has white toy in its mouth endseq
442594271_2c3dd38483,startseq people are riding on the beach endseq,startseq bunch of people at the beach endseq
442918418_0f29c97fa9,startseq dog is running through the leaves endseq,startseq brown dog is jumping over fallen tree in the woods endseq
443430496_3fea95a07d,startseq dog is swimming in the water endseq,startseq brown dog swimming in murky water endseq
443885436_6e927e6c58,startseq dog is running through the snow endseq,startseq tan curly haired dog jumps in the snow with stick in its mouth endseq
444047125_66b249287c,startseq hiker climbing mountain mountain endseq,startseq person hiking at the foot of snowcapped mountains endseq
444057017_f1e0fcaef7,startseq two children are climbing on playground endseq,startseq little girl gets her picture taken while on the merry-go-round endseq
444481722_690d0cadcf,startseq two people are walking along the street endseq,startseq dark skinned man walks by woman talking on cellphone endseq
444803340_fdcaab86f9,startseq the woman is wearing white shirt and white shirt and white shirt is standing in front of the camera endseq,"startseq ""a guy and girl both wearing white shirts and jeans stand under flowering tree ."" endseq"
444845904_a4531c811a,startseq two people are sitting on snowy mountain endseq,"startseq ""a man in yellow helmet climbs cliff face snow behind him ."" endseq"
444872454_9f51e07f88,startseq three people are posing for picture endseq,startseq group of students dressed in sweatshirts and jackets head towards the right endseq
444881000_bba92e585c,startseq man and woman sitting on the grass endseq,startseq group of college students walk in nice weather endseq
445148321_9f2f3ac711,startseq person on top of snow covered mountain endseq,startseq person in the distance hikes among hoodoos with stars visible in the sky endseq
445655284_c29e6d7323,startseq dog is running through the snow endseq,startseq black and brown dog walks through the snow near building endseq
