image_id,predicted,actual
436015762_8d0bae90c3,startseq the person is walking through the air endseq,startseq man prepares to enter the red building endseq
436393371_822ee70952,startseq the dog is barking at the camera endseq,startseq brown doberman is outside with stick in its mouth endseq
436608339_f1d1298770,startseq the man is standing in front of brick building endseq,startseq couple posing in front of picture wall endseq
437054333_5c2761b8cd,startseq the man is coming out of the bus at the wheel of bus endseq,startseq bus filled with passengers in chicago at night endseq
437404867_209625774d,startseq woman is sitting on the street at an urban park endseq,startseq woman is sitting on sidewalk with cellphone at her ear endseq
437527058_189f2a7eef,startseq child in red parka disc on snowy slope endseq,startseq caravan of snowmobile travel through the snow endseq
437917001_ae1106f34e,startseq young boy is doing back on the back of benches endseq,startseq dark colored man is laying on newspapers by metal railing with his shoes off endseq
438639005_208bc59b0b,startseq two children are running on grass endseq,startseq boy in red and girl pink are walking through low cut field endseq
439037721_cdf1fc7358,startseq the person is traveling over an old fence endseq,startseq two men sitting on the bank of lake with an ice chest endseq
439049388_3dcee2d30b,startseq the little boy is thrown off the beach endseq,"startseq ""people possibly fishermen with their boats in shadow on shore at an orangesunset"" endseq"
439492931_a96d590e40,startseq two dogs are playing in field endseq,startseq cluster of four brown dogs play in field of brown grass endseq
439569646_c917f1bc78,startseq the little girl is jumping on the couch endseq,startseq girl is hiding behind painted wooden structure inside building endseq
439916996_1ddb9dc8e7,startseq dog in yellow garden with toy in his mouth endseq,startseq brown dogs and woman in yard endseq
440184957_267f3f3a2b,startseq woman in green shirt is standing in front of wooden fence endseq,startseq clown shares cut-out pictures of children endseq
440190907_bf8b7ba8ef,startseq the person is standing at mexican restaurant endseq,startseq group of people walk through shopping mall endseq
440737340_5af34ca9cf,startseq woman in blue shirt and black pants is running on the sand endseq,startseq black man with red mask is carrying box endseq
441212506_fcc321ac28,startseq two dogs are running through field endseq,startseq the black dog runs with ball with two smaller dogs behind it endseq
44129946_9eeb385d77,startseq two people sitting on the end of the water endseq,startseq couple watches boat against skyline endseq
441398149_297146e38d,startseq woman wearing red shirt is jumping over red and red sign endseq,startseq female jogger wearing red endseq
441817653_fbdf83060b,startseq man with red jacket and sunglasses is standing next to woman with sunglasses on his face endseq,startseq bearded man wearing denim jacket and hat sits on park bench endseq
441921713_1cafc7d7d2,startseq woman wearing glasses is standing next to car endseq,startseq bird lands on mans glove endseq
442220883_ff3d6e507f,startseq golden retriever is being held by another dog endseq,startseq brown dog has white toy in its mouth endseq
442594271_2c3dd38483,startseq three women are on the beach near the ocean endseq,startseq bunch of people at the beach endseq
442918418_0f29c97fa9,startseq white dog walks in the leaves endseq,startseq brown dog is jumping over fallen tree in the woods endseq
443430496_3fea95a07d,startseq dog retrieves causing dog through water endseq,startseq brown dog swimming in murky water endseq
443885436_6e927e6c58,startseq white dog is running through the snow endseq,startseq tan curly haired dog jumps in the snow with stick in its mouth endseq
444047125_66b249287c,startseq person stands on trail in the distance endseq,startseq person hiking at the foot of snowcapped mountains endseq
444057017_f1e0fcaef7,startseq girl in pink shirt is swinging on swing endseq,startseq little girl gets her picture taken while on the merry-go-round endseq
444481722_690d0cadcf,startseq man carrying long skateboard and leather item endseq,startseq dark skinned man walks by woman talking on cellphone endseq
444803340_fdcaab86f9,startseq woman in white shirt walks down the grass endseq,"startseq ""a guy and girl both wearing white shirts and jeans stand under flowering tree ."" endseq"
444845904_a4531c811a,startseq the man is wearing protective gear and carrying helmet endseq,"startseq ""a man in yellow helmet climbs cliff face snow behind him ."" endseq"
444872454_9f51e07f88,startseq three young adults are posing for picture endseq,startseq group of students dressed in sweatshirts and jackets head towards the right endseq
444881000_bba92e585c,startseq three men are walking in the grass endseq,startseq group of college students walk in nice weather endseq
445148321_9f2f3ac711,startseq person is standing on top of rocky mountain endseq,startseq person in the distance hikes among hoodoos with stars visible in the sky endseq
445655284_c29e6d7323,startseq black and white dog is running in the snow endseq,startseq black and brown dog walks through the snow near building endseq
445861800_75fc6a8c16,startseq three people are standing next to the street endseq,startseq three men walking on sidewalk in city endseq
446138054_d40c66d5f0,startseq young man is jumping on rock endseq,startseq man in an orange hat jumping endseq
446286714_dcec7f339e,startseq woman in sleeveless shirt is squatting on the grass endseq,startseq an elderly man is sitting on bench endseq
446291803_2fd4641b99,startseq two people are sitting on the hump of water endseq,startseq these woman are watching people play tennis from bench endseq
446514680_ff5ca15ece,startseq two muzzled dogs are playing with red toy in the sand endseq,startseq two brown dogs are fighting and they are both wearing red endseq
447111935_5af98563e3,startseq the little boy is running through the grass endseq,startseq the two greyhound dogs wearing sweaters are playing in the grass endseq
447722389_4b51b7e13d,startseq dog jumps up in the grass endseq,startseq brown and white dog is jumping high and catching blue ball endseq
447733067_09cfac3286,startseq two women in traditional pullovers are holding their arms in the middle of body of water endseq,startseq girl in skimpy bikini outfit walks and carries helmet endseq
447800028_0242008fa3,startseq black dog is running through the snow endseq,startseq black dog playing with purple toy in the snow endseq
448252603_7d928c900e,startseq woman in pink shirt is running on the street endseq,startseq boy pointing in direction on dirt road endseq
448257345_ce149c2ea6,startseq black dog with blue toy in its mouth endseq,startseq dog is staring at the food in the plate of person eating endseq
44856031_0d82c2c7d1,startseq dog jumps for toy in the air endseq,startseq brown dog is sprayed with water endseq
448590900_db83c42006,startseq dog runs through the grass endseq,startseq brown dog is sniffing around green grass on hill endseq
448658518_eec0b648a6,startseq man is jumping off wooden pole endseq,startseq large man dressed in black on street corner by red brick building endseq
448916362_17f3f1d0e1,startseq dog with purple collar is running endseq,startseq dog is running through field with its tongue hanging out endseq
449287870_f17fb825d7,startseq two children are playing on playground slide endseq,startseq female toddler wearing pink shirt is playing on playground endseq
449352117_63c359c6e7,startseq the dog is sitting on the carpet with an orange and white and white endseq,startseq brown and black puppy stands by camera endseq
450596617_ed37ec0fe4,startseq two young boys one in white and one is walking on the street endseq,startseq man and woman walking near the ocean endseq
451081733_40218cec31,startseq three men are riding on barren plain endseq,startseq man on the beach in jeans looking at his camera endseq
451326127_2d95a2e1c2,startseq dog walks in the woods endseq,startseq dog jumping over fallen tree in the forest endseq
